ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,_v1,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,_v2,_v3,_v4,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample,sex,race,age_cat,age,decile_score,score_text,priors_count,two_year_recid,is_recid,c_charge_degree
3783,M,WHITE,43-47,11,No,3.0,,High School Diploma,0,Property,Less than 1 year,,,0.0,,1.0,5 or more,No,No,2,2,No,3 or more,0,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,1,Male,Caucasian,25 - 45,45.0,3.0,Low,1.0,0,0,F
3784,F,WHITE,48 or older,7,,3.0,Standard,At least some college,0,Other,1-2 years,,,,0.0,3.0,1,Yes,No,3 or more,4 or more,No,0,1,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,10 or more,0,0,,,,,,0.9814814814814816,0.6763888888888889,No,Yes,No,No,Yes,0,Female,Caucasian,Greater than 45,50.0,3.0,Low,3.0,1,1,M
3785,M,WHITE,43-47,5,No,10.0,Standard,High School Diploma,0,Other,Less than 1 year,,,1.0,,4.0,5 or more,Yes,Yes,3 or more,4 or more,Yes,3 or more,0,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,4 or more,0,0,2,62.2,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,45.0,10.0,High,5.0,1,1,M
3786,M,BLACK,43-47,4,No,4.0,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,,4.0,1.0,,3.0,4,No,No,3 or more,0,No,3 or more,1,No,No,No,No,No,No,No,No,No,No,No,No,0,9,0,0,50.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,4.0,Low,8.0,0,0,F
3787,M,BLACK,43-47,21,No,2.0,Standard,At least some college,3 or more,Property,Less than 1 year,,4.0,1.0,,0.0,2,No,No,3 or more,2,Yes,3 or more,0,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0,0,0,108.6666666666667,0.0,0.0,0.0,0.0,1.0,2.0,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,2.0,Low,5.0,0,0,F
3788,M,BLACK,48 or older,12,No,4.0,Specialized,At least some college,3 or more,Other,Greater than 2 to 3 years,6.0,5.0,0.0,3.0,3.0,2,No,Yes,1,3,No,1,1,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,0,0,0,0,4.646341463414634,0.0,0.0,0.0,0.0,0.2467191601049869,0.4793307086614174,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,4.0,Low,17.0,0,0,M
3789,M,BLACK,43-47,6,No,5.0,Standard,Less than HS diploma,1,Violent/Non-Sex,1-2 years,,,,,2.0,5 or more,Yes,No,3 or more,4 or more,Yes,3 or more,1,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,0,0,0,0,84.5,0.5,0.5,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,0,Male,African-American,25 - 45,45.0,5.0,Medium,2.0,1,1,F
3790,M,BLACK,43-47,18,No,5.0,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,4.0,1.0,2.0,1.0,0.0,2,No,No,1,1,Yes,1,1,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,4 or more,2,1,0,298.0,0.5,0.0,0.0,0.0,1.0,0.919253355704698,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,5.0,Medium,8.0,0,0,F
3791,M,WHITE,48 or older,11,No,10.0,Specialized,High School Diploma,0,,Greater than 2 to 3 years,,,0.0,,3.0,5 or more,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,1,31.42857142857143,0.0,0.0,0.0,0.0,1.0,3.0,Yes,Yes,Yes,No,No,0,Male,Caucasian,Greater than 45,50.0,10.0,High,3.0,1,1,
3792,M,BLACK,48 or older,1,No,2.0,Standard,At least some college,0,Violent/Non-Sex,1-2 years,,,,3.0,1.0,5 or more,Yes,No,2,4 or more,Yes,1,0,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,1,,,,,,0.0,0.0,Yes,No,No,No,No,0,Male,African-American,Greater than 45,50.0,2.0,Low,4.0,0,0,F
3793,M,WHITE,43-47,17,Yes,6.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,,,,,1.0,5 or more,No,Yes,2,4 or more,Yes,2,0,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,6,0,1,63.83333333333334,0.0,0.0,0.0,0.0,0.1527415143603133,0.4768276762402088,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,45.0,6.0,Medium,1.0,1,1,F
3794,M,BLACK,48 or older,8,No,8.0,High,At least some college,0,Violent/Non-Sex,More than 3 years,6.0,3.0,2.0,4.0,0.0,3,Yes,No,3 or more,3,Yes,3 or more,0,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,0,0,0,2,,,,,,0.3,1.0,Yes,Yes,Yes,No,No,0,Male,African-American,Greater than 45,50.0,8.0,High,15.0,1,1,F
3795,F,WHITE,48 or older,17,,2.0,Standard,High School Diploma,0,,1-2 years,,1.0,0.0,,3.0,1,No,No,3 or more,1,No,3 or more,1,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,0,0,0,0,,,,,,1.0,1.907310704960835,No,Yes,No,Yes,No,0,Female,Caucasian,Greater than 45,50.0,2.0,Low,4.0,1,1,
3796,M,BLACK,48 or older,25,No,3.0,Standard,High School Diploma,1,Drug,More than 3 years,7.0,2.0,,3.0,1.0,0,No,Yes,3 or more,0,No,2,1,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,3.0,Low,13.0,0,0,F
3797,M,WHITE,43-47,3,No,1.0,Specialized,Less than HS diploma,0,Other,Greater than 2 to 3 years,,3.0,1.0,,0.0,5 or more,No,No,2,0,No,3 or more,0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,2,6,0,1,364.5,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,45.0,1.0,Low,4.0,1,1,M
3798,M,BLACK,43-47,5,No,4.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,8.0,,,3.0,1.0,1,Yes,No,3 or more,4 or more,Yes,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,3 or more,150.0,0.0,0.0,0.0,0.0,0.1566666666666667,1.2175,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,45.0,4.0,Low,12.0,1,1,F
3799,M,WHITE,48 or older,24,No,3.0,Specialized,At least some college,0,,1-2 years,4.0,,1.0,2.0,0.0,1,No,No,2,4 or more,Yes,0,0,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,0,0,1,21.0,0.0,0.0,0.0,0.0,0.984126984126984,1.0,No,No,No,No,No,0,Male,Caucasian,Greater than 45,50.0,3.0,Low,7.0,0,0,
3800,M,BLACK,43-47,2,No,4.0,Standard,High School Diploma,3 or more,Property,1-2 years,,,1.0,,4.0,5 or more,No,Yes,3 or more,4 or more,No,3 or more,1,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,1,2,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,45.0,4.0,Low,5.0,1,1,F
3801,M,WHITE,43-47,14,No,10.0,Specialized,Less than HS diploma,2,Property,More than 3 years,,,1.0,,3.0,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,No,No,No,No,No,No,No,4 or more,2,3 or more,1,24.41666666666667,0.0833333358168602,0.0,0.0833333358168602,0.0,1.0,3.0,No,Yes,No,No,Yes,1,Male,Caucasian,25 - 45,45.0,10.0,High,4.0,1,1,F
3802,M,BLACK,43-47,2,No,,,High School Diploma,3 or more,,Less than 1 year,,,,,,2,Yes,Yes,3 or more,2,Yes,2,0,No,No,Yes,No,No,No,No,No,No,No,No,No,1,0,0,1,,,,,,0.0,0.0,No,Yes,No,No,Yes,1,Male,African-American,25 - 45,45.0,,,0.0,1,1,
3803,M,WHITE,43-47,4,No,5.0,Standard,Less than HS diploma,0,Property,Greater than 2 to 3 years,,,0.0,,4.0,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,No,No,No,No,No,Yes,No,No,No,No,No,No,0,6,0,3 or more,181.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,45.0,5.0,Medium,4.0,1,1,F
3804,M,WHITE,43-47,12,No,4.0,Standard,At least some college,1,,Greater than 2 to 3 years,5.0,5.0,1.0,1.0,4.0,2,No,No,2,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,No,No,2,6,0,1,90.2,0.0,0.0,0.0,0.0,0.7560975609756098,0.4049334811529933,No,No,No,No,No,0,Male,Caucasian,25 - 45,45.0,4.0,Low,16.0,0,0,
3805,M,BLACK,48 or older,1,No,2.0,Specialized,Less than HS diploma,1,Other,Less than 1 year,,5.0,,4.0,1.0,2,No,No,1,2,Yes,2,0,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,10 or more,0,0,33.0,0.0,0.0,0.0,0.0,0.993939393939394,1.0,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,10.0,0,0,M
3806,M,BLACK,43-47,20,No,6.0,High,High School Diploma,0,Violent/Non-Sex,1-2 years,,,,,1.0,3,Yes,No,3 or more,4 or more,Yes,3 or more,1,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,2,0,0,0,,,,,,0.0,0.0,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,45.0,6.0,Medium,1.0,1,1,F
3807,M,WHITE,48 or older,11,No,9.0,Specialized,At least some college,2,Drug,Greater than 2 to 3 years,2.0,0.0,0.0,0.0,1.0,1,No,Yes,0,0,No,0,1,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,0,0,0,0,6.264150943396227,0.0,0.0,0.0,0.0,0.8734939759036144,1.0,Yes,No,No,No,No,0,Male,Caucasian,Greater than 45,50.0,9.0,High,3.0,0,0,F
3808,M,BLACK,48 or older,5,No,9.0,Specialized,Less than HS diploma,0,Property,Greater than 2 to 3 years,,1.0,1.0,,0.0,5 or more,No,Yes,3 or more,1,No,3 or more,0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,0,0,0,0,106.8571428571429,0.1428571492433548,0.0,0.0,0.0,0.3729946524064171,0.9766042780748664,Yes,No,No,No,No,1,Male,African-American,Greater than 45,50.0,9.0,High,2.0,0,0,F
3809,M,BLACK,48 or older,21,No,2.0,Standard,At least some college,3 or more,Drug,Less than 1 year,,,0.0,,1.0,5 or more,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,,,,,,0.2065727699530517,1.0,Yes,Yes,No,Yes,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,1.0,1,1,F
3810,M,WHITE,43-47,25,No,4.0,Standard,High School Diploma,0,Drug,Less than 1 year,9.0,,1.0,,1.0,2,No,No,3 or more,4 or more,No,2,1,No,No,No,No,No,Yes,No,No,No,No,No,No,0,6,0,2,41.0,0.0,0.0,0.0,0.0,0.934959349593496,0.9898373983739835,No,No,No,No,No,1,Male,Caucasian,25 - 45,45.0,4.0,Low,11.0,0,0,F
3811,M,BLACK,48 or older,6,No,2.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,3.0,1.0,0.0,0.0,2.0,2,No,Yes,1,0,No,0,2 or more,No,No,Yes,No,No,Yes,No,No,No,No,No,No,0,8,0,0,41.45454545454545,0.2727272808551788,0.0909090936183929,0.0,0.0909090936183929,1.0,1.601973684210526,No,Yes,No,Yes,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,6.0,1,1,F
3812,M,BLACK,38-42,5,Yes,7.0,Specialized,Less than HS diploma,1,,More than 3 years,,3.0,,,4.0,5 or more,No,Yes,3 or more,0,Yes,3 or more,2 or more,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,3 or more,349.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,Yes,No,No,0,Male,African-American,25 - 45,40.0,7.0,Medium,7.0,1,1,
3813,M,WHITE,43-47,12,No,5.0,Standard,High School Diploma,3 or more,,1-2 years,,,2.0,,2.0,5 or more,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,3,0,0,0,,,,,,0.0,0.0,Yes,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,45.0,5.0,Medium,4.0,1,1,
3814,M,BLACK,43-47,6,No,3.0,,High School Diploma,1,Property,Less than 1 year,,,0.0,,1.0,5 or more,No,No,3 or more,2,No,3 or more,1,No,No,No,No,No,Yes,No,No,No,No,Yes,No,4 or more,0,0,2,43.5,0.0,0.5,0.0,0.0,1.0,1.0,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,3.0,Low,1.0,0,0,F
3815,M,BLACK,48 or older,22,No,6.0,High,Less than HS diploma,3 or more,Drug,Greater than 2 to 3 years,,,1.0,,,5 or more,No,No,3 or more,4 or more,No,1,2 or more,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,4 or more,5,1,0,99.33333333333331,0.0,0.0,0.0,0.0,1.0,0.6128355704697986,No,Yes,No,No,Yes,0,Male,African-American,Greater than 45,50.0,6.0,Medium,1.0,1,1,F
3816,M,BLACK,48 or older,7,No,2.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,8.0,,,,1.0,5 or more,Yes,No,2,4 or more,Yes,3 or more,0,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,0,0,0,1,46.2,0.0,0.0,0.0,0.0,1.0,5.0,No,Yes,Yes,No,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,9.0,1,1,F
3817,F,BLACK,48 or older,11,,4.0,Standard,At least some college,0,Property,1-2 years,,,1.0,,0.0,5 or more,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,0,244.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,0,Female,African-American,Greater than 45,50.0,4.0,Low,1.0,1,1,F
3818,M,BLACK,43-47,10,No,6.0,High,Less than HS diploma,2,Property,Less than 1 year,,,,,4.0,5 or more,No,Yes,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,0,10 or more,2,0,7.666666666666667,0.3333333432674408,0.0,0.0,0.0,1.0,2.0,No,Yes,No,Yes,No,0,Male,African-American,25 - 45,45.0,6.0,Medium,4.0,1,1,F
3819,M,WHITE,43-47,3,No,5.0,Specialized,Less than HS diploma,0,Drug,Greater than 2 to 3 years,,5.0,1.0,1.0,,2,No,No,0,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,4 or more,6,0,0,107.3333333333333,0.0833333358168602,0.0833333358168602,0.0,0.0,0.9868012422360248,0.2835791925465839,Yes,No,No,No,No,0,Male,Caucasian,25 - 45,45.0,5.0,Medium,7.0,0,0,F
3820,M,BLACK,38-42,3,No,5.0,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,7.0,5.0,,1.0,4.0,1,Yes,Yes,2,1,Yes,1,2 or more,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,4 or more,0,0,3 or more,182.1666666666667,0.0,0.0,0.0,0.0,0.7319304666056725,0.6683440073193047,No,No,No,No,No,1,Male,African-American,25 - 45,40.0,5.0,Medium,17.0,0,0,F
3821,M,BLACK,48 or older,20,No,10.0,Specialized,Less than HS diploma,0,Property,1-2 years,,,0.0,2.0,0.0,4,No,Yes,3 or more,4 or more,No,1,0,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0,0,0,121.1428571428571,0.0,0.0,0.0,0.0,0.9433962264150944,0.6460790094339622,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,10.0,High,2.0,0,0,F
3822,M,BLACK,43-47,8,No,3.0,,High School Diploma,1,Violent/Non-Sex,Less than 1 year,,,,,1.0,5 or more,Yes,No,3 or more,1,No,3 or more,1,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,4 or more,0,0,2,,,,,,0.1936170212765957,0.777127659574468,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,45.0,3.0,Low,1.0,1,1,F
3823,M,BLACK,43-47,14,No,3.0,,High School Diploma,3 or more,Other,Less than 1 year,8.0,,,3.0,1.0,4,No,Yes,3 or more,2,No,3 or more,0,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,4 or more,9,0,1,7.057692307692307,0.0384615398943424,0.0384615398943424,0.0,0.0192307699471712,0.0,0.0,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,3.0,Low,12.0,0,0,M
3824,M,WHITE,43-47,8,No,4.0,Standard,High School Diploma,3 or more,Property,1-2 years,,,1.0,4.0,1.0,5 or more,Yes,No,3 or more,4 or more,No,2,1,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,0,0,2,,,,,,1.0,1.0,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,45.0,4.0,Low,6.0,1,1,F
3825,M,BLACK,48 or older,8,No,2.0,Standard,High School Diploma,0,,Less than 1 year,7.0,,,3.0,,3,No,No,2,4 or more,No,0,2 or more,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,,,,,,0.125,1.0,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,10.0,0,0,
3826,M,WHITE,48 or older,8,No,5.0,,High School Diploma,3 or more,,Greater than 2 to 3 years,9.0,,1.0,4.0,,2,Yes,No,1,4 or more,Yes,0,2 or more,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,0,7,2,1,48.66666666666666,0.0,0.0,0.0,0.0,0.8584474885844748,1.667808219178082,No,No,No,No,No,1,Male,Caucasian,Greater than 45,50.0,5.0,Medium,14.0,0,0,
3827,M,BLACK,48 or older,10,No,2.0,Standard,Less than HS diploma,0,Property,1-2 years,,1.0,0.0,,1.0,2,No,No,0,1,No,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,2,30.8,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,2.0,1,1,F
3828,M,BLACK,48 or older,6,No,10.0,Specialized,Less than HS diploma,3 or more,Property,1-2 years,,,1.0,,,4,No,Yes,2,4 or more,No,2,0,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,1,0,0,0,56.18181818181818,0.0,0.0,0.0,0.0,0.7152103559870551,1.182038834951456,No,Yes,Yes,No,No,1,Male,African-American,Greater than 45,50.0,10.0,High,1.0,1,1,F
3829,M,BLACK,48 or older,14,No,2.0,Standard,High School Diploma,0,Other,1-2 years,9.0,,0.0,1.0,4.0,1,No,No,3 or more,4 or more,No,1,1,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,14.0,1,1,M
3830,M,BLACK,43-47,25,No,3.0,Standard,High School Diploma,0,Property,Less than 1 year,,,,,3.0,5 or more,Yes,No,3 or more,4 or more,No,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,1,,,,,,0.5230769230769231,1.0,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,45.0,3.0,Low,3.0,1,1,F
3831,M,BLACK,48 or older,22,No,5.0,Standard,High School Diploma,0,Other,1-2 years,,5.0,2.0,,1.0,5 or more,No,Yes,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,3 or more,251.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,Yes,1,Male,African-American,Greater than 45,50.0,5.0,Medium,8.0,1,1,M
3832,M,BLACK,48 or older,18,No,3.0,Specialized,Less than HS diploma,3 or more,Violent/Sex,Less than 1 year,7.0,,2.0,2.0,1.0,4,No,Yes,3 or more,4 or more,Yes,2,1,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,0,0,2,61.0,0.1666666716337204,0.1666666716337204,0.0,0.0,1.0,1.995901639344262,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,3.0,Low,12.0,0,0,F
3833,M,BLACK,48 or older,1,No,8.0,High,At least some college,0,Property,1-2 years,,3.0,2.0,,,1,No,Yes,3 or more,2,Yes,3 or more,2 or more,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,0,0,0,3 or more,987.0,1.0,0.0,0.0,0.0,0.4376899696048632,0.3700607902735563,Yes,No,No,No,No,0,Male,African-American,Greater than 45,50.0,8.0,High,5.0,0,0,F
3834,M,BLACK,48 or older,8,No,3.0,,High School Diploma,0,Drug,Greater than 2 to 3 years,,1.0,0.0,,2.0,5 or more,No,No,3 or more,2,No,3 or more,1,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,0,0,0,0,,,,,,0.0,0.0,No,Yes,Yes,No,No,0,Male,African-American,Greater than 45,50.0,3.0,Low,3.0,1,1,F
3835,M,BLACK,48 or older,2,No,3.0,Standard,Less than HS diploma,3 or more,Drug,1-2 years,4.0,,0.0,2.0,2.0,5 or more,No,No,3 or more,4 or more,No,1,2 or more,Yes,No,No,No,No,No,Yes,No,No,No,No,No,0,3,0,1,49.30769230769231,0.0,0.0769230797886848,0.0,0.0,0.9625585023400935,0.5698127925117005,Yes,No,No,No,No,1,Male,African-American,Greater than 45,50.0,3.0,Low,8.0,0,0,F
3836,M,BLACK,38-42,18,No,4.0,Standard,Less than HS diploma,1,,1-2 years,,3.0,1.0,,2.0,2,No,Yes,3 or more,1,Yes,2,2 or more,No,No,Yes,No,No,Yes,No,No,No,No,No,No,0,0,0,3 or more,,,,,,0.0,0.0,No,Yes,Yes,No,No,0,Male,African-American,25 - 45,40.0,4.0,Low,6.0,1,1,
3837,M,BLACK,48 or older,4,No,6.0,High,High School Diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,,,,,,3,Yes,Yes,2,4 or more,Yes,1,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,8,0,0,121.5,0.0,0.0,0.0,0.0,0.823045267489712,0.5636574074074074,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,6.0,Medium,0.0,0,0,F
3838,M,WHITE,43-47,24,Yes,2.0,Standard,Less than HS diploma,3 or more,,Less than 1 year,,4.0,,,1.0,2,No,No,3 or more,0,Yes,3 or more,1,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,4 or more,0,0,0,,,,,,0.0,0.0,No,Yes,No,Yes,No,0,Male,Caucasian,25 - 45,45.0,2.0,Low,5.0,1,1,
3839,M,BLACK,48 or older,23,No,5.0,,At least some college,0,Violent/Non-Sex,1-2 years,,,,,4.0,5 or more,No,No,3 or more,3,Yes,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,2,0,0,1,119.0,0.0,0.0,0.0,0.0,0.9607843137254902,1.0,No,Yes,Yes,No,No,1,Male,African-American,Greater than 45,50.0,5.0,Medium,4.0,1,1,F
3840,M,BLACK,43-47,3,No,7.0,Specialized,At least some college,2,Property,More than 3 years,4.0,3.0,0.0,2.0,2.0,2,No,Yes,1,1,No,1,2 or more,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,4 or more,10 or more,3 or more,1,27.83333333333333,0.1428571492433548,0.1428571492433548,0.0238095242530107,0.0,0.8374679213002566,1.562232677502139,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,7.0,Medium,11.0,0,0,F
3841,F,WHITE,43-47,17,,4.0,Standard,High School Diploma,0,Other,Less than 1 year,5.0,3.0,0.0,0.0,,1,No,No,3 or more,2,No,0,2 or more,No,No,No,Yes,No,Yes,No,No,No,No,No,No,0,0,0,0,61.6,0.0,0.0,0.0,0.0,1.0,0.3952922077922078,No,No,No,No,No,1,Female,Caucasian,25 - 45,45.0,4.0,Low,8.0,0,0,M
3842,M,BLACK,48 or older,23,No,2.0,Standard,Less than HS diploma,1,Violent/Non-Sex,1-2 years,9.0,,1.0,4.0,2.0,4,No,No,2,4 or more,Yes,2,1,No,No,No,No,No,No,No,Yes,No,No,No,No,3,0,0,1,89.5,0.0,0.0,0.0,0.0,1.0,2.0,No,Yes,No,Yes,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,16.0,1,1,F
3843,M,BLACK,43-47,7,No,3.0,Standard,High School Diploma,1,Drug,Less than 1 year,,,1.0,,3.0,5 or more,No,Yes,3 or more,2,No,3 or more,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,4 or more,8,0,0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,0,Male,African-American,25 - 45,45.0,3.0,Low,4.0,1,1,F
3844,M,WHITE,38-42,14,No,10.0,Specialized,At least some college,2,Violent/Non-Sex,More than 3 years,,,2.0,,1.0,3,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,4 or more,0,0,0,59.92307692307692,0.0,0.0,0.0,0.0,0.9390243902439024,0.4688703465982028,Yes,No,No,No,No,0,Male,Caucasian,25 - 45,40.0,10.0,High,3.0,0,0,F
3845,M,WHITE,38-42,14,No,8.0,High,High School Diploma,0,Drug,1-2 years,,,0.0,,4.0,5 or more,Yes,Yes,2,4 or more,Yes,2,2 or more,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,3,9,3 or more,0,62.81818181818182,0.1818181872367859,0.0,0.0909090936183929,0.0,1.0,0.5285817655571635,Yes,No,No,No,No,0,Male,Caucasian,25 - 45,40.0,8.0,High,4.0,0,0,F
3846,M,WHITE,43-47,2,No,10.0,Specialized,At least some college,0,Property,More than 3 years,9.0,,0.0,,3.0,0,No,No,1,2,No,2,1,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,7,0,3 or more,50.25,0.0,0.0,0.0,0.0,0.2068230277185501,0.7787846481876333,No,Yes,No,Yes,No,1,Male,Caucasian,25 - 45,45.0,10.0,High,12.0,1,1,F
